,title,artist
0,Fast Car,Luke Combs
1,Last Night,Morgan Wallen
2,Need A Favor,Jelly Roll
3,Take Two,BTS
4,Save Me (with Lainey Wilson),Jelly Roll
5,Flowers,Miley Cyrus
6,"Angel Pt. 2 (feat. JVKE, Charlie Puth & Muni Long)",Jimin & Fast & Furious: The Fast Saga
7,Bust a Move,Young MC
8,Calm Down,Rema & Selena Gomez
9,"81 Million Votes, My Ass",The Truth Bombers & Kari Lake
10,Thinkin’ Bout Me,Morgan Wallen
11,Thank God I Do,Lauren Daigle
12,Son Of A Sinner,Jelly Roll
13,All My Life (feat. J. Cole),Lil Durk
14,Funky Cold Medina,Tone-Loc
15,Dance The Night,Dua Lipa
16,Stand By Me (feat. Morgan Wallen),Lil Durk
17,Attention,Doja Cat
18,Wild Thing,Tone-Loc
19,Don't Say Love,Leigh-Anne
20,Cruel Summer,Taylor Swift
21,Area Codes,Kali
22,Fast Car,Tracy Chapman
23,TRUSTFALL,P!nk
24,Favorite Song,Toosii
25,Thank God,Kane Brown & Katelyn Brown
26,Love You Anyway,Luke Combs
27,Next Thing You Know,Jordan Davis
28,Religiously,Bailey Zimmerman
29,Thought You Should Know,Morgan Wallen
30,Karma,Taylor Swift
31,Anti-Hero,Taylor Swift
32,Eyes Closed,Ed Sheeran
33,Heart Like A Truck,Lainey Wilson
34,Hold My Hand,Lady Gaga
35,Mourning,Post Malone
36,Watermelon Moonshine,Lainey Wilson
37,Thicc As Thieves,Lauren Alaina & Lainey Wilson
38,O.P.P. (Re-recorded Version),Naughty By Nature
39,Dancin’ In The Country,Tyler Hubbard
40,Makeba,Jain
41,Something in the Orange (Z&E's Version),Zach Bryan
42,Can She Have This Dance,Drew Baldridge
43,We Don't Fight Anymore (feat. Chris Stapleton),Carly Pearce
44,Son,Mitch Rossell
45,Put It On Da Floor Again (feat. Cardi B),Latto
46,One Thing At A Time,Morgan Wallen
47,Bury Me in Georgia (Single Edit),Kane Brown
48,Wasted On You,Morgan Wallen
49,Tennessee Orange,Megan Moroney
50,Unstoppable,Sia
51,Heaven,Niall Horan
52,SCIENTISTS & ENGINEERS (feat. Future & Eryn Allen Kane),Killer Mike & André 3000
53,Tennessee Whiskey,Chris Stapleton
54,Waffle House,Jonas Brothers
55,wait in the truck,HARDY & Lainey Wilson
56,Daylight,David Kushner
57,BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ
58,Sure Thing,Miguel
59,Cupid (Twin Ver.),FIFTY FIFTY
60,MMMBop 2.0,Busted & Hanson
61,Save Me,Jelly Roll
62,Chemical,Post Malone
63,Ella Baila Sola,Eslabon Armado & Peso Pluma
64,Peaches,Jack Black
65,Oklahoma Smokeshow,Zach Bryan
66,Halfway To Hell,Jelly Roll
67,TRUCK BED,HARDY
68,It Matters To Her,Scotty McCreery
69,Rock and A Hard Place,Bailey Zimmerman
70,You Proof,Morgan Wallen
71,Hip Hop Hooray (Re-recorded Version),Naughty By Nature
72,Deep in the Willow,Knocked Loose
73,Try That In A Small Town,Jason Aldean
74,I Ain't Worried,OneRepublic
75,Praise You Anywhere,Brandon Lake
76,Kill Bill,SZA
77,Karma (feat. Ice Spice),Taylor Swift
78,See You Next Summer,Brian Kelley
79,Snooze,SZA
80,One Margarita (Margarita Song),"That Chick Angel, Casa Di & Steve Terrell"
81,A Little Bit Happy,TALK
82,Count on Me,Bruno Mars
83,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
84,Jaded,Miley Cyrus
85,HAPPY,NF
86,You Need To Calm Down,Taylor Swift
87,How Do I Say Goodbye,Dean Lewis
88,Memory Lane,Old Dominion
89,WHERE SHE GOES,Bad Bunny
90,Search & Rescue,Drake
91,But I Got A Beer In My Hand,Luke Bryan
92,If You Were Mine,Miranda Lambert & Leon Bridges
93,Drinkaby,Cole Swindell
94,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
95,Perfect,Ed Sheeran
96,Always Remember Us This Way,Lady Gaga
97,Whiskey Glasses,Morgan Wallen
98,She Had Me At Heads Carolina,Cole Swindell
99,Little Girl Gone,CHINCHILLA
